locus_tag	ftype	length_bp	gene	EC_number	COG	product
POOLPIDM_00763	CDS	441	copY			Transcriptional repressor CopY
POOLPIDM_00764	CDS	210	copZ			Copper chaperone CopZ
POOLPIDM_00765	CDS	2187	copA	7.2.2.8		putative copper-importing P-type ATPase A
POOLPIDM_00766	CDS	2172	copB	7.2.2.8		Copper-exporting P-type ATPase B
POOLPIDM_00767	CDS	741				hypothetical protein
POOLPIDM_00768	CDS	1299				hypothetical protein
POOLPIDM_00769	CDS	753				hypothetical protein
POOLPIDM_00770	CDS	324				hypothetical protein
POOLPIDM_00771	CDS	849				hypothetical protein
POOLPIDM_00772	CDS	813				hypothetical protein
POOLPIDM_00773	CDS	324				hypothetical protein
POOLPIDM_00774	CDS	570				hypothetical protein
POOLPIDM_00775	CDS	693				hypothetical protein
POOLPIDM_00776	CDS	807				IS3 family transposase ISEnfa3
POOLPIDM_00777	CDS	537				hypothetical protein
POOLPIDM_00778	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_00779	CDS	537				hypothetical protein
POOLPIDM_00780	CDS	807				IS3 family transposase ISEnfa3
POOLPIDM_00781	CDS	417				hypothetical protein
POOLPIDM_00782	CDS	258				hypothetical protein
POOLPIDM_00783	CDS	1251				IS110 family transposase ISSpn10
POOLPIDM_00784	CDS	975	cbh_1	3.5.1.24		Choloylglycine hydrolase
POOLPIDM_00785	CDS	1296				ISL3 family transposase ISEfa5
POOLPIDM_00786	CDS	1188				IS256 family transposase IS16
POOLPIDM_00787	CDS	318				hypothetical protein
POOLPIDM_00788	CDS	366				hypothetical protein
POOLPIDM_00789	CDS	483				hypothetical protein
POOLPIDM_00790	CDS	891	pstS1_2		COG0226	Phosphate-binding protein PstS 1
POOLPIDM_00791	CDS	1296				ISL3 family transposase IS1251
POOLPIDM_00792	CDS	1269				ISL3 family transposase IS1476
POOLPIDM_00793	CDS	2472	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
POOLPIDM_00794	CDS	1737	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
POOLPIDM_00795	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
POOLPIDM_00796	CDS	417				hypothetical protein
POOLPIDM_00797	CDS	339				hypothetical protein
POOLPIDM_00798	CDS	1419	ffh		COG0541	Signal recognition particle protein
POOLPIDM_00799	CDS	579	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
POOLPIDM_00800	CDS	522				IS1595 family transposase ISCac2
POOLPIDM_00801	CDS	555	chrR	1.6.5.2	COG0431	Quinone reductase
POOLPIDM_00802	CDS	276	rpsP		COG0228	30S ribosomal protein S16
POOLPIDM_00803	CDS	252				hypothetical protein
POOLPIDM_00804	CDS	792				hypothetical protein
POOLPIDM_00805	CDS	522	rimM			Ribosome maturation factor RimM
POOLPIDM_00806	CDS	762	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
POOLPIDM_00807	CDS	348	rplS		COG0335	50S ribosomal protein L19
POOLPIDM_00808	CDS	663				hypothetical protein
POOLPIDM_00809	CDS	3228				hypothetical protein
POOLPIDM_00810	CDS	315				hypothetical protein
POOLPIDM_00811	CDS	375				hypothetical protein
POOLPIDM_00812	CDS	345				hypothetical protein
POOLPIDM_00813	CDS	1146				hypothetical protein
POOLPIDM_00814	CDS	1860				hypothetical protein
POOLPIDM_00815	CDS	252				hypothetical protein
POOLPIDM_00816	CDS	435				IS1595 family transposase ISCco3
POOLPIDM_00817	CDS	708				hypothetical protein
POOLPIDM_00818	CDS	255				hypothetical protein
POOLPIDM_00819	CDS	1185				hypothetical protein
POOLPIDM_00820	CDS	138				hypothetical protein
POOLPIDM_00821	CDS	1911				hypothetical protein
POOLPIDM_00822	CDS	501				hypothetical protein
POOLPIDM_00823	CDS	1848				hypothetical protein
POOLPIDM_00824	CDS	897				hypothetical protein
POOLPIDM_00825	CDS	390				hypothetical protein
POOLPIDM_00826	CDS	2346				hypothetical protein
POOLPIDM_00827	CDS	1188				IS256 family transposase IS16
POOLPIDM_00828	CDS	2130				hypothetical protein
POOLPIDM_00829	CDS	1008				hypothetical protein
POOLPIDM_00830	CDS	912				hypothetical protein
POOLPIDM_00831	CDS	729				IS21 family transposase ISCth15
POOLPIDM_00832	CDS	1419				hypothetical protein
POOLPIDM_00833	CDS	1122			COG3385	IS4 family transposase IS4Bsu1
POOLPIDM_00834	CDS	954			COG2826	IS30 family transposase IS1252
POOLPIDM_00835	CDS	480				hypothetical protein
POOLPIDM_00836	CDS	291				IS3 family transposase ISEfa8
POOLPIDM_00837	CDS	837				IS3 family transposase ISEfa8
POOLPIDM_00838	CDS	981	degA_1		COG1609	HTH-type transcriptional regulator DegA
POOLPIDM_00839	CDS	1419	bfrA	3.2.1.26	COG1621	Beta-fructosidase
POOLPIDM_00840	CDS	1470	treP_1		COG1263	PTS system trehalose-specific EIIBC component
POOLPIDM_00841	CDS	468				hypothetical protein
POOLPIDM_00842	CDS	873	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
POOLPIDM_00843	CDS	2535	dgaR_5			Transcriptional regulatory protein DagR
POOLPIDM_00844	CDS	774	sorC		COG3715	PTS system sorbose-specific EIIC component
POOLPIDM_00845	CDS	792	manZ_4		COG3716	PTS system mannose-specific EIID component
POOLPIDM_00846	CDS	492	manX_4	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
POOLPIDM_00847	CDS	411				hypothetical protein
POOLPIDM_00848	CDS	1401				hypothetical protein
POOLPIDM_00849	CDS	375				hypothetical protein
POOLPIDM_00850	CDS	195				hypothetical protein
POOLPIDM_00851	CDS	354				hypothetical protein
POOLPIDM_00852	CDS	1548				IS66 family transposase ISRob1
POOLPIDM_00853	CDS	429				hypothetical protein
POOLPIDM_00854	CDS	252				hypothetical protein
POOLPIDM_00855	CDS	216				hypothetical protein
POOLPIDM_00856	CDS	309				hypothetical protein
POOLPIDM_00857	CDS	1179	xerC_5			Tyrosine recombinase XerC
POOLPIDM_00858	CDS	294				hypothetical protein
POOLPIDM_00859	CDS	2322				hypothetical protein
POOLPIDM_00860	CDS	459				hypothetical protein
POOLPIDM_00861	CDS	1014				hypothetical protein
POOLPIDM_00862	CDS	447				hypothetical protein
POOLPIDM_00863	CDS	816				hypothetical protein
POOLPIDM_00864	CDS	1173				hypothetical protein
POOLPIDM_00865	CDS	198				hypothetical protein
POOLPIDM_00866	CDS	495				hypothetical protein
POOLPIDM_00867	CDS	423				hypothetical protein
POOLPIDM_00868	CDS	1194	yjhB			Putative metabolite transport protein YjhB
POOLPIDM_00869	CDS	378	adhR		COG0789	HTH-type transcriptional regulator AdhR
POOLPIDM_00870	CDS	306	hdfR_1			HTH-type transcriptional regulator HdfR
POOLPIDM_00871	CDS	444				hypothetical protein
POOLPIDM_00872	CDS	1296				ISL3 family transposase ISEfa11
POOLPIDM_00873	CDS	816	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
POOLPIDM_00874	CDS	216				hypothetical protein
POOLPIDM_00875	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_00876	CDS	1665	alsS	2.2.1.6	COG0028	Acetolactate synthase
POOLPIDM_00877	CDS	711	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
POOLPIDM_00878	CDS	498				hypothetical protein
POOLPIDM_00879	CDS	261				hypothetical protein
POOLPIDM_00880	CDS	240				hypothetical protein
POOLPIDM_00881	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_00882	tRNA	74				tRNA-Met(cat)
POOLPIDM_00883	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_00884	CDS	303				hypothetical protein
POOLPIDM_00885	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
POOLPIDM_00886	CDS	774		3.1.3.-		Putative phosphatase
POOLPIDM_00887	CDS	351				hypothetical protein
POOLPIDM_00888	CDS	717	srrA_1		COG0745	Transcriptional regulatory protein SrrA
POOLPIDM_00889	CDS	1449	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
POOLPIDM_00890	CDS	510				hypothetical protein
POOLPIDM_00891	CDS	726				hypothetical protein
POOLPIDM_00892	CDS	2121	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
POOLPIDM_00893	CDS	1179	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
POOLPIDM_00894	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
POOLPIDM_00895	CDS	486	ybaK_2	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
POOLPIDM_00896	CDS	1254	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
POOLPIDM_00897	CDS	1350	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
POOLPIDM_00898	CDS	1347	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
POOLPIDM_00899	CDS	1296				ISL3 family transposase ISEfa11
POOLPIDM_00900	CDS	387				hypothetical protein
POOLPIDM_00901	CDS	1446				IS1182 family transposase ISEfa7
POOLPIDM_00902	CDS	783				IS982 family transposase ISEfm1
POOLPIDM_00903	CDS	960			COG2826	IS30 family transposase IS1062
POOLPIDM_00904	CDS	150				hypothetical protein
POOLPIDM_00905	CDS	213				hypothetical protein
POOLPIDM_00906	CDS	111				hypothetical protein
POOLPIDM_00907	CDS	1800				hypothetical protein
POOLPIDM_00908	CDS	597				hypothetical protein
POOLPIDM_00909	CDS	954			COG2826	IS30 family transposase IS1252
POOLPIDM_00910	CDS	345				hypothetical protein
POOLPIDM_00911	CDS	420				hypothetical protein
POOLPIDM_00912	CDS	351				hypothetical protein
POOLPIDM_00913	CDS	1332				hypothetical protein
POOLPIDM_00914	CDS	567				hypothetical protein
POOLPIDM_00915	tRNA	88				tRNA-Ser(cga)
POOLPIDM_00916	CDS	1206	xerC_6			Tyrosine recombinase XerC
POOLPIDM_00917	CDS	441				hypothetical protein
POOLPIDM_00918	CDS	654				hypothetical protein
POOLPIDM_00919	CDS	423				hypothetical protein
POOLPIDM_00920	CDS	375				hypothetical protein
POOLPIDM_00921	CDS	183				hypothetical protein
POOLPIDM_00922	CDS	321				hypothetical protein
POOLPIDM_00923	CDS	171				hypothetical protein
POOLPIDM_00924	CDS	153				hypothetical protein
POOLPIDM_00925	CDS	483				hypothetical protein
POOLPIDM_00926	CDS	699				hypothetical protein
POOLPIDM_00927	CDS	342				hypothetical protein
POOLPIDM_00928	CDS	672				hypothetical protein
POOLPIDM_00929	CDS	687				hypothetical protein
POOLPIDM_00930	CDS	750				hypothetical protein
POOLPIDM_00931	CDS	270				hypothetical protein
POOLPIDM_00932	CDS	165				hypothetical protein
POOLPIDM_00933	CDS	306				hypothetical protein
POOLPIDM_00934	CDS	291				hypothetical protein
POOLPIDM_00935	CDS	357				hypothetical protein
POOLPIDM_00936	CDS	246				hypothetical protein
POOLPIDM_00937	CDS	420				hypothetical protein
POOLPIDM_00938	CDS	567				hypothetical protein
POOLPIDM_00939	CDS	135				hypothetical protein
POOLPIDM_00940	CDS	690				hypothetical protein
POOLPIDM_00941	CDS	477				hypothetical protein
POOLPIDM_00942	CDS	297	yjcQ			putative protein YjcQ
POOLPIDM_00943	CDS	387				hypothetical protein
POOLPIDM_00944	CDS	387				hypothetical protein
POOLPIDM_00945	CDS	381				hypothetical protein
POOLPIDM_00946	CDS	453				hypothetical protein
POOLPIDM_00947	CDS	1728				hypothetical protein
POOLPIDM_00948	CDS	1230				hypothetical protein
POOLPIDM_00949	CDS	570				hypothetical protein
POOLPIDM_00950	CDS	1362				hypothetical protein
POOLPIDM_00951	CDS	279				hypothetical protein
POOLPIDM_00952	CDS	327				hypothetical protein
POOLPIDM_00953	CDS	339				hypothetical protein
POOLPIDM_00954	CDS	366				hypothetical protein
POOLPIDM_00955	CDS	627				hypothetical protein
POOLPIDM_00956	CDS	465				hypothetical protein
POOLPIDM_00957	CDS	2310				hypothetical protein
POOLPIDM_00958	CDS	720				hypothetical protein
POOLPIDM_00959	CDS	2706				hypothetical protein
POOLPIDM_00960	CDS	1719				hypothetical protein
POOLPIDM_00961	CDS	783				hypothetical protein
POOLPIDM_00962	CDS	2067				hypothetical protein
POOLPIDM_00963	CDS	447				hypothetical protein
POOLPIDM_00964	CDS	138				hypothetical protein
POOLPIDM_00965	CDS	294				hypothetical protein
POOLPIDM_00966	CDS	198				hypothetical protein
POOLPIDM_00967	CDS	1020				hypothetical protein
POOLPIDM_00968	CDS	807				IS3 family transposase ISEnfa3
POOLPIDM_00969	CDS	537				hypothetical protein
POOLPIDM_00970	CDS	582	cbh_2	3.5.1.24		Choloylglycine hydrolase
POOLPIDM_00971	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_00972	CDS	342	cbh_3	3.5.1.24		Choloylglycine hydrolase
POOLPIDM_00973	CDS	1446				IS1182 family transposase ISEfa7
POOLPIDM_00974	CDS	1896	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
POOLPIDM_00975	CDS	447				hypothetical protein
POOLPIDM_00976	CDS	150	rpmGA_1			50S ribosomal protein L33 1
POOLPIDM_00977	CDS	519	folA_1	1.5.1.3		Dihydrofolate reductase
POOLPIDM_00978	CDS	957	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
POOLPIDM_00979	CDS	807	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
POOLPIDM_00980	CDS	990	feuB		COG0609	Iron-uptake system permease protein FeuB
POOLPIDM_00981	CDS	1005	feuC		COG0609	Iron-uptake system permease protein FeuC
POOLPIDM_00982	CDS	543	yqgN		COG0212	putative protein YqgN
POOLPIDM_00983	CDS	699	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
POOLPIDM_00984	CDS	213	yqgQ		COG4483	putative protein YqgQ
POOLPIDM_00985	CDS	963	glcK	2.7.1.2	COG1940	Glucokinase
POOLPIDM_00986	CDS	396	yibN		COG0607	putative protein YibN
POOLPIDM_00987	CDS	366				hypothetical protein
POOLPIDM_00988	CDS	1812				hypothetical protein
POOLPIDM_00989	CDS	168				hypothetical protein
POOLPIDM_00990	CDS	990	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
POOLPIDM_00991	CDS	1485	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
POOLPIDM_00992	CDS	981	melR_1		COG1609	HTH-type transcriptional repressor MelR
POOLPIDM_00993	CDS	825	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
POOLPIDM_00994	CDS	543				hypothetical protein
POOLPIDM_00995	CDS	465	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
POOLPIDM_00996	CDS	1017	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
POOLPIDM_00997	CDS	702				hypothetical protein
POOLPIDM_00998	CDS	1230	arcA	3.5.3.6		Arginine deiminase
POOLPIDM_00999	CDS	1020	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
POOLPIDM_01000	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
POOLPIDM_01001	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
POOLPIDM_01002	CDS	546	phnX_1	3.11.1.1		Phosphonoacetaldehyde hydrolase
POOLPIDM_01003	CDS	129	phnX_2	3.11.1.1		Phosphonoacetaldehyde hydrolase
POOLPIDM_01004	CDS	1092	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
POOLPIDM_01005	CDS	480	argR_2			Arginine repressor
POOLPIDM_01006	CDS	783	rpsB		COG0052	30S ribosomal protein S2
POOLPIDM_01007	CDS	882	tsf		COG0264	Elongation factor Ts
POOLPIDM_01008	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
POOLPIDM_01009	CDS	558	frr			Ribosome-recycling factor
POOLPIDM_01010	CDS	813	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
POOLPIDM_01011	CDS	801				hypothetical protein
POOLPIDM_01012	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
POOLPIDM_01013	CDS	1710	proS	6.1.1.15	COG0442	Proline--tRNA ligase
POOLPIDM_01014	CDS	4359	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
POOLPIDM_01015	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
POOLPIDM_01016	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
POOLPIDM_01017	CDS	294				hypothetical protein
POOLPIDM_01018	CDS	312	rplGA		COG1358	putative ribosomal protein YlxQ
POOLPIDM_01019	CDS	2307	infB			Translation initiation factor IF-2
POOLPIDM_01020	CDS	348	rbfA			Ribosome-binding factor A
POOLPIDM_01021	CDS	468		4.1.2.-		phosphoketolase
POOLPIDM_01022	CDS	990	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
POOLPIDM_01023	CDS	885	xpkA_2	4.1.2.9		Xylulose-5-phosphate phosphoketolase
POOLPIDM_01024	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
POOLPIDM_01025	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
POOLPIDM_01026	CDS	786	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
POOLPIDM_01027	CDS	852	glcU_2		COG4975	Glucose uptake protein GlcU
POOLPIDM_01028	CDS	453				hypothetical protein
POOLPIDM_01029	CDS	369	fra		COG5646	Intracellular iron chaperone frataxin
POOLPIDM_01030	CDS	483				hypothetical protein
POOLPIDM_01031	CDS	1011	mccF			Microcin C7 self-immunity protein MccF
POOLPIDM_01032	CDS	714				hypothetical protein
POOLPIDM_01033	CDS	591	ydeA	3.2.-.-	COG0693	putative protease YdeA
POOLPIDM_01034	CDS	228				hypothetical protein
POOLPIDM_01035	CDS	1167	hemW		COG0635	Heme chaperone HemW
POOLPIDM_01036	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
POOLPIDM_01037	CDS	564	grpE			Protein GrpE
POOLPIDM_01038	CDS	1830	dnaK		COG0443	Chaperone protein DnaK
POOLPIDM_01039	CDS	1167	dnaJ		COG0484	Chaperone protein DnaJ
POOLPIDM_01040	CDS	738	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
POOLPIDM_01041	CDS	1503	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
POOLPIDM_01042	CDS	1995	uvrB		COG0556	UvrABC system protein B
POOLPIDM_01043	CDS	2817	uvrA			UvrABC system protein A
POOLPIDM_01044	CDS	1266		6.3.1.12		D-aspartate ligase
POOLPIDM_01045	CDS	732		5.1.1.13		Aspartate racemase
POOLPIDM_01046	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
POOLPIDM_01047	CDS	999			COG0391	Putative gluconeogenesis factor
POOLPIDM_01048	CDS	936	whiA		COG1481	putative cell division protein WhiA
POOLPIDM_01049	CDS	201				hypothetical protein
POOLPIDM_01050	CDS	627				hypothetical protein
POOLPIDM_01051	CDS	582				hypothetical protein
POOLPIDM_01052	CDS	954			COG2826	IS30 family transposase IS1252
POOLPIDM_01053	CDS	252				hypothetical protein
POOLPIDM_01054	CDS	258				hypothetical protein
POOLPIDM_01055	CDS	588				hypothetical protein
POOLPIDM_01056	CDS	558				hypothetical protein
POOLPIDM_01057	CDS	522				hypothetical protein
POOLPIDM_01058	CDS	3693		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
POOLPIDM_01059	CDS	888	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
POOLPIDM_01060	CDS	1170				hypothetical protein
POOLPIDM_01061	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
POOLPIDM_01062	CDS	1806	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
POOLPIDM_01063	CDS	291				hypothetical protein
POOLPIDM_01064	CDS	1026	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
POOLPIDM_01065	CDS	660				hypothetical protein
POOLPIDM_01066	CDS	933				hypothetical protein
POOLPIDM_01067	CDS	1290	tig	5.2.1.8	COG0544	Trigger factor
POOLPIDM_01068	CDS	1251	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
POOLPIDM_01069	CDS	588	engB		COG0218	putative GTP-binding protein EngB
POOLPIDM_01070	CDS	156				hypothetical protein
POOLPIDM_01071	CDS	1329				hypothetical protein
POOLPIDM_01072	CDS	210				hypothetical protein
POOLPIDM_01073	CDS	753	glcR		COG1349	HTH-type transcriptional repressor GlcR
POOLPIDM_01074	CDS	915	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
POOLPIDM_01075	CDS	1932	fruA_5		COG1299	PTS system fructose-specific EIIABC component
POOLPIDM_01076	CDS	1560	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
POOLPIDM_01077	CDS	2235	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
POOLPIDM_01078	CDS	2037	ligA_1	6.5.1.2	COG0272	DNA ligase
POOLPIDM_01079	CDS	306	gatC_1	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
POOLPIDM_01080	CDS	1473	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
POOLPIDM_01081	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
POOLPIDM_01082	CDS	1056	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
POOLPIDM_01083	CDS	1374		2.1.1.-	COG2265	putative RNA methyltransferase
POOLPIDM_01084	CDS	129				hypothetical protein
POOLPIDM_01085	CDS	1014	aes_1	3.1.1.-		Acetyl esterase
POOLPIDM_01086	CDS	1035	melR_2		COG1609	HTH-type transcriptional repressor MelR
POOLPIDM_01087	CDS	2226	melA	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
POOLPIDM_01088	CDS	1884	lacL	3.2.1.23	COG3250	Beta-galactosidase large subunit
POOLPIDM_01089	CDS	975	lacM	3.2.1.23	COG3250	Beta-galactosidase small subunit
POOLPIDM_01090	CDS	1023	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
POOLPIDM_01091	CDS	1065	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
POOLPIDM_01092	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
POOLPIDM_01093	CDS	1092				hypothetical protein
POOLPIDM_01094	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
POOLPIDM_01095	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
POOLPIDM_01096	CDS	837	pheA			Bifunctional chorismate mutase/prephenate dehydratase
POOLPIDM_01097	CDS	1737				hypothetical protein
POOLPIDM_01098	CDS	876	rhaR_2			HTH-type transcriptional activator RhaR
POOLPIDM_01099	CDS	579	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
POOLPIDM_01100	CDS	1287	lacE_1			Lactose-binding protein
POOLPIDM_01101	CDS	870	lacF_3			Lactose transport system permease protein LacF
POOLPIDM_01102	CDS	870	lacG_2			Lactose transport system permease protein LacG
POOLPIDM_01103	CDS	684	umpB_1			Na(+), Li(+), K(+)/H(+) antiporter subunit B
POOLPIDM_01104	CDS	774	umpB_2			Na(+), Li(+), K(+)/H(+) antiporter subunit B
POOLPIDM_01105	CDS	399				hypothetical protein
POOLPIDM_01106	CDS	672				hypothetical protein
POOLPIDM_01107	CDS	441				hypothetical protein
POOLPIDM_01108	CDS	669	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
POOLPIDM_01109	CDS	624	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
POOLPIDM_01110	CDS	387				hypothetical protein
POOLPIDM_01111	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
POOLPIDM_01112	CDS	369				hypothetical protein
POOLPIDM_01113	CDS	132				hypothetical protein
POOLPIDM_01114	CDS	942				hypothetical protein
POOLPIDM_01115	CDS	732	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
POOLPIDM_01116	CDS	2181	yhgF		COG2183	Protein YhgF
POOLPIDM_01117	CDS	483				Protein SprT-like protein
POOLPIDM_01118	CDS	762	ydcF		COG1434	Protein YdcF
POOLPIDM_01119	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
POOLPIDM_01120	CDS	486				hypothetical protein
POOLPIDM_01121	CDS	684	ybhL		COG0670	Inner membrane protein YbhL
POOLPIDM_01122	CDS	2646	polA	2.7.7.7		DNA polymerase I
POOLPIDM_01123	CDS	837	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
POOLPIDM_01124	CDS	630	coaE	2.7.1.24		Dephospho-CoA kinase
POOLPIDM_01125	CDS	333				hypothetical protein
POOLPIDM_01126	CDS	492	nrdR		COG1327	Transcriptional repressor NrdR
POOLPIDM_01127	CDS	1374	dnaB		COG3611	Replication initiation and membrane attachment protein
POOLPIDM_01128	CDS	927	dnaI		COG1484	Primosomal protein DnaI
POOLPIDM_01129	CDS	441				hypothetical protein
POOLPIDM_01130	CDS	1296				ISL3 family transposase ISEfa5
POOLPIDM_01131	CDS	702	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
POOLPIDM_01132	CDS	1122			COG0327	GTP cyclohydrolase 1 type 2 
POOLPIDM_01133	CDS	1233	pepT	3.4.11.4		Peptidase T
POOLPIDM_01134	CDS	909	dagK_2	2.7.1.107	COG1597	Diacylglycerol kinase
POOLPIDM_01135	CDS	273				hypothetical protein
POOLPIDM_01136	CDS	1047				hypothetical protein
POOLPIDM_01137	CDS	2610	clpB		COG0542	Chaperone protein ClpB
POOLPIDM_01138	CDS	672				hypothetical protein
POOLPIDM_01139	CDS	495				hypothetical protein
POOLPIDM_01140	CDS	1221	eis_2	2.3.1.-		N-acetyltransferase Eis
POOLPIDM_01141	CDS	1836	lepA	3.6.5.-		Elongation factor 4
POOLPIDM_01142	CDS	1128	xerC_7			Tyrosine recombinase XerC
POOLPIDM_01143	CDS	954			COG2826	IS30 family transposase IS1252
POOLPIDM_01144	CDS	1179				IS256 family transposase ISEf1
POOLPIDM_01145	CDS	414				hypothetical protein
POOLPIDM_01146	CDS	486				hypothetical protein
POOLPIDM_01147	CDS	216				hypothetical protein
POOLPIDM_01148	CDS	801	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
POOLPIDM_01149	CDS	1869	licR_1		COG1762	putative licABCH operon regulator
POOLPIDM_01150	CDS	492				hypothetical protein
POOLPIDM_01151	CDS	555	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
POOLPIDM_01152	CDS	996	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
POOLPIDM_01153	CDS	1251				IS110 family transposase ISSpn10
POOLPIDM_01154	CDS	399	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
POOLPIDM_01155	CDS	711	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
POOLPIDM_01156	CDS	888	prsA_2	5.2.1.8		Foldase protein PrsA
POOLPIDM_01157	CDS	840				hypothetical protein
POOLPIDM_01158	CDS	975				hypothetical protein
POOLPIDM_01159	CDS	357				hypothetical protein
POOLPIDM_01160	CDS	1158				hypothetical protein
POOLPIDM_01161	CDS	441	spxA_1		COG1393	Regulatory protein Spx
